"features_geometry_coordinates_0","features_geometry_coordinates_1","features_geometry_type","features_id","features_properties_additionalInfo_0","features_properties_adviceA","features_properties_adviceB","features_properties_attendingGroups_0","features_properties_attendingGroups_1","features_properties_attendingGroups_2","features_properties_created","features_properties_displayName","features_properties_diversions","features_properties_duration","features_properties_encodedPolylines_0_coords","features_properties_encodedPolylines_0_levels","features_properties_end","features_properties_ended","features_properties_expectedDelay","features_properties_headline","features_properties_impactingNetwork","features_properties_incidentKind","features_properties_isInitialReport","features_properties_isMajor","features_properties_isNewIncident","features_properties_lastUpdated","features_properties_mainCategory","features_properties_name","features_properties_otherAdvice","features_properties_periods_0_closureType","features_properties_periods_0_direction","features_properties_periods_0_finishTime","features_properties_periods_0_fromDay","features_properties_periods_0_startTime","features_properties_periods_0_toDay","features_properties_publicTransport","features_properties_roads_0_conditionTendency","features_properties_roads_0_crossStreet","features_properties_roads_0_delay","features_properties_roads_0_impactedLanes_0_affectedDirection","features_properties_roads_0_impactedLanes_0_closedLanes","features_properties_roads_0_impactedLanes_0_description","features_properties_roads_0_impactedLanes_0_extent","features_properties_roads_0_impactedLanes_0_numberOfLanes","features_properties_roads_0_impactedLanes_0_roadType","features_properties_roads_0_locationQualifier","features_properties_roads_0_mainStreet","features_properties_roads_0_quadrant","features_properties_roads_0_queueLength","features_properties_roads_0_region","features_properties_roads_0_secondLocation","features_properties_roads_0_suburb","features_properties_roads_0_trafficVolume","features_properties_speedLimit","features_properties_start","features_properties_subCategoryA","features_properties_subCategoryB","features_properties_webLinkName","features_properties_webLinkUrl","features_properties_webLinks_0_linkText","features_properties_webLinks_0_linkURL","features_type"
"150.92581","-33.83226","POINT","727158","","","","","RMS","","1512101239820","ACCIDENT Multiple vehicles"," ","None","","","None","True","None","ACCIDENT Multiple vehicles - GREYSTANES Gipps Rd at Alpha Rd","False","Unplanned","True","False","False","1512102926626","Accident","None"," ","","","","","",""," ","","Alpha Road","","","","","","","","at","Gipps Road","","0","SYD_WEST"," ","Greystanes","","-1","None","","","","","","",""
"150.92163","-33.93937","POINT","727152","","","","","","","1512098685243","HAZARD Tyre debris"," ","None","","","None","True","None","HAZARD Tyre debris - CASULA M5 Mwy approaching Hume Hwy","False","Unplanned","False","False","False","1512101104726","Hazard","None"," ","","","","","",""," ","","Hume Highway","","Westbound","1","Lane 2","Lanes closed","4"," ","approaching","M5 Motorway","","0","SYD_SOUTH"," ","Casula","","-1","None","","","","","","",""
"152.42567","-32.08231","POINT","727202","","","","","RMS","","1512115228274","HAZARD Fallen tree"," ","None","","","None","True","None","HAZARD Fallen tree - FAILFORD Failford Rd at Pacific Hwy","False","Unplanned","False","False","False","1512118242795","Hazard","None"," ","","","","","",""," ","","Pacific Highway","","Both directions"," "," ","Affected"," "," ","at","Failford Road","","0","REG_NORTH"," ","Failford","","-1","None","","","","","","",""
"151.01974","-33.83179","POINT","727130","","","","","RMS","","1512084692301","BREAKDOWN Truck"," ","None","","","None","True","None","BREAKDOWN Truck - CLYDE James Ruse Dr at Martha St","False","Unplanned","False","False","False","1512092057559","Breakdown","None"," ","","","","","",""," ","","Martha Street","","Northbound","1","Lane 1","Lanes closed","3"," ","at","James Ruse Drive","","0","SYD_WEST"," ","Clyde","","-1","None","","","","","","",""
"151.12799","-33.73353","POINT","727203","","","","","RMS","","1512115843187","HAZARD Missing Lane Divider"," ","None","","","None","True","None","HAZARD Missing Lane Divider - WAHROONGA Pacific Hwy at Kissing Point Rd","False","Unplanned","False","False","False","1512116814867","Hazard","None"," ","","","","","",""," ","","Kissing Point Road","","Both directions"," "," ","Affected"," "," ","at","Pacific Highway","","0","SYD_NORTH"," ","Wahroonga","","-1","None","","","","","","",""
"150.91541","-33.80426","POINT","727141","","","","","Heavy tow truck","","1512090270415","BREAKDOWN Truck"," ","None","","","None","True","None","BREAKDOWN Truck - PROSPECT M4 Mwy at Prospect Hwy","False","Unplanned","False","False","False","1512096133865","Breakdown","None"," ","","","","","",""," ","","Prospect Highway"," ","Eastbound"," ","Off-ramp","Affected"," "," ","at","M4 Motorway","","-1","SYD_WEST"," ","Prospect","Heavy","-1","None","","","","","","",""
"150.50854","-34.40271","POINT","727210","","","","","","","1512120089390","BREAKDOWN Truck"," ","None","","","None","True","None","BREAKDOWN Truck - COLO VALE Hume Mwy Off-Ramp to Church Ave","False","Unplanned","False","False","False","1512129253867","Breakdown","None"," ","","","","","",""," ","","Church Avenue","","Southbound"," "," ","Affected"," "," ","to","Hume Motorway Off-Ramp","","0","REG_SOUTH"," ","Colo Vale","","-1","None","","","","","","",""
"151.21494","-33.90088","POINT","727125","","","","","RMS","","1512081875102","HAZARD Debris, bricks"," ","None","","","None","True","None","HAZARD Debris, bricks - MOORE PARK South Dowling St at Dacey Ave","False","Unplanned","False","False","False","1512088736752","Hazard","None"," ","","","","","",""," ","","Dacey Avenue","","All directions"," "," ","Affected"," "," ","at","South Dowling Street","","0","SYD_MET"," ","Moore Park","","-1","None","","","","","","",""
"150.68608","-33.75701","POINT","727189","","","","","","","1512109750420","BREAKDOWN Car"," ","None","","","None","True","None","BREAKDOWN Car - PENRITH Mulgoa Rd at Ransley St","False","Unplanned","False","False","False","1512113601839","Breakdown","None"," ","","","","","",""," ","","Ransley Street","","Southbound"," "," ","Affected"," "," ","at","Mulgoa Road","","0","SYD_WEST"," ","Penrith","","-1","None","","","","","","",""
"151.11468","-33.93615","POINT","727133","","","","","","","1512085459795","BREAKDOWN Truck"," ","None","","","None","True","None","BREAKDOWN Truck - BEXLEY NORTH M5 East Mwy at Tunnel exit","False","Unplanned","False","False","False","1512093681030","Breakdown","None"," ","","","","","",""," ","","Tunnel exit","Significant","Westbound"," "," ","Affected"," "," ","at","M5 East Motorway","","-1","SYD_MET"," ","Bexley North","Heavy","-1","None","","","","","","",""
"151.21843","-33.87031","POINT","727188","","","","","","","1512109504489","BREAKDOWN Car"," ","None","","","None","True","None","BREAKDOWN Car - WOOLLOOMOOLOO Cahill Exp approaching Domain Tunnel","False","Unplanned","False","False","False","1512109842380","Breakdown","None"," ","","","","","",""," ","","Domain Tunnel","","Northbound","1","Lane 5","Lanes closed","6"," ","approaching","Cahill Expressway","","0","SYD_MET"," ","Woolloomooloo","","-1","None","","","","","","",""
"151.18768","-33.92718","POINT","727197","","","","","RMS","","1512114157145","ACCIDENT 2 cars"," ","None","","","None","True","None","ACCIDENT 2 cars - MASCOT Bourke Rd approaching O'Riordan St","False","Unplanned","False","False","False","1512114933562","Accident","None"," ","","","","","",""," ","","O'Riordan Street","","Southbound","1","Lane 1","Lanes closed","2"," ","approaching","Bourke Road","","0","SYD_MET"," ","Mascot","","-1","None","","","","","","",""
"151.25946","-33.88933","POINT","727147","","","","","","","1512093543737","ACCIDENT 2 cars"," ","None","","","None","True","None","ACCIDENT 2 cars - BONDI Old South Head Rd at Flood St","False","Unplanned","False","False","False","1512093670579","Accident","None"," ","","","","","",""," ","","Flood Street","","Westbound","1","Lane 1","Lanes closed","2"," ","at","Old South Head Road","","0","SYD_MET"," ","Bondi","","-1","None","","","","","","",""
"150.95543","-33.84424","POINT","727138","","","","","","","1512088793332","ACCIDENT 3 vehicles"," ","None","","","None","True","None","ACCIDENT 3 vehicles - SMITHFIELD Cumberland Hwy at Sturt St","False","Unplanned","False","False","False","1512090551242","Accident","None"," ","","","","","",""," ","","Sturt Street","","Southbound"," "," ","Affected"," "," ","at","Cumberland Highway","","0","SYD_WEST"," ","Smithfield","","-1","None","","","","","","",""
"153.10161","-30.30588","POINT","727139","","","","","","","1512089640214","ACCIDENT 4 cars"," ","None","","","None","True","None","ACCIDENT 4 cars - COFFS HARBOUR Pacific Hwy near Halls Rd","False","Unplanned","False","False","False","1512092214072","Accident","None"," ","","","","","",""," ","","Halls Road","Significant","Southbound"," "," ","Affected"," "," ","near","Pacific Highway","","-1","REG_NORTH"," ","Coffs Harbour","Heavy","-1","None","","","","","","",""
"151.0637","-33.74436","POINT","727177","","","","","","","1512105751583","BREAKDOWN Car"," ","None","","","None","True","None","BREAKDOWN Car - BEECROFT Beecroft Rd at Albert Rd","False","Unplanned","False","False","False","1512107428280","Breakdown","None"," ","","","","","",""," ","","Albert Road"," ","Northbound","1","Lane 2","Lanes closed","2"," ","at","Beecroft Road","","-1","SYD_NORTH"," ","Beecroft","Heavy","-1","None","","","","","","",""
"150.98665","-33.79657","POINT","727166","","","","","","","1512102325348","BREAKDOWN Car"," ","None","","","None","True","None","BREAKDOWN Car - NORTHMEAD Old Windsor Rd at Briens Rd","False","Unplanned","False","False","False","1512107226996","Breakdown","None"," ","","","","","",""," ","","Briens Road","","Eastbound"," "," ","Affected"," "," ","at","Old Windsor Road","","0","SYD_WEST"," ","Northmead","","-1","None","","","","","","",""
"151.19469","-33.93799","POINT","727146","","","","","","","1512093178701","HAZARD Metal"," ","None","","","None","True","None","HAZARD Metal - MASCOT Southern Cross Dr above Botany Rd","False","Unplanned","False","False","False","1512094394706","Hazard","None"," ","","","","","",""," ","","Botany Road","","Southbound","1","Lane 1","Lanes closed","2"," ","above","Southern Cross Drive","","0","SYD_MET"," ","Mascot","","-1","None","","","","","","",""
"150.87015","-33.80091","POINT","727184","","","","","","","1512108793044","HAZARD Ladder"," ","None","","","None","True","None","HAZARD Ladder - EASTERN CREEK M4 Mwy at Brabham Dr","False","Unplanned","False","False","False","1512109878182","Hazard","None"," ","","","","","",""," ","","Brabham Drive","","Eastbound","1","Lane 3","Lanes closed","3"," ","at","M4 Motorway","","0","SYD_WEST"," ","Eastern Creek","","-1","None","","","","","","",""
"150.95647","-33.86727","POINT","727157","","","","","RMS","","1512100626171","ACCIDENT 3 vehicles"," ","None","","","None","True","None","ACCIDENT 3 vehicles - FAIRFIELD The Horsley Dr at Court Rd","False","Unplanned","False","False","False","1512102811921","Accident","None"," ","","","","","",""," ","","Court Road"," ","Both directions"," "," ","Affected"," "," ","at","The Horsley Drive","","-1","SYD_WEST"," ","Fairfield","Moderate","-1","None","","","","","","",""
"151.04826","-33.75899","POINT","713199"," ","Check signage","Exercise caution"," ","","","1508804793048","CHANGED TRAFFIC CONDITIONS"," "," ","","","1546347599059","False"," ","CHANGED TRAFFIC CONDITIONS - PENNANT HILLS TO BAULKHAM HILLS M2 Mwy between Pennant Hills Rd and Windsor Rd","True","Planned","False","False","False","1511608302171","Changed traffic conditions","None","A new westbound lane is now open on the M2 Mwy between Pennant Hills Rd and Windsor Rd. <br/>The Pennant Hills Rd westbound on-ramp now joins the M2 as an added lane.<br/>Motorists should check signs and drive with care.<br/>","LANE_CLOSURE","Westbound","","Every day","24hrs"," "," ","","Pennant Hills Road","","","","","","","","between","M2 Motorway","","0","SYD_WEST","Windsor Road","Pennant Hills to Baulkham Hills","","-1","1509109200000",""," ","None","None","NorthConnex","http://northconnex.com.au/project-construction","Feature"
"150.76868","-33.79815","POINT","727167","","","","","RMS","","1512102904880","ACCIDENT 2 cars"," ","None","","","None","True","None","ACCIDENT 2 cars - ST CLAIR Mamre Rd at Solander Dr","False","Unplanned","False","False","False","1512103346417","Accident","None"," ","","","","","",""," ","","Solander Drive","","Southbound"," "," ","Affected"," "," ","at","Mamre Road","","0","SYD_WEST"," ","St Clair","","-1","None","","","","","","",""
"150.90297","-32.24017","POINT","727128","","","","","","","1512084140614","HAZARD Livestock, sheep"," ","None","","","None","True","None","HAZARD Livestock, sheep - MUSWELLBROOK New England Hwy at Aberdeen St","False","Unplanned","False","False","False","1512084602774","Hazard","None"," ","","","","","",""," ","","Aberdeen Street","","Both directions"," "," ","Affected"," "," ","at","New England Highway","","0","REG_NORTH"," ","Muswellbrook","","-1","None","","","","","","",""
"151.2168","-33.8921","POINT","702210"," ","Exercise caution","Allow extra travel time"," ","","","1499220947770","CHANGED TRAFFIC CONDITIONS Eastern Distributor northbound off-ramp to Cleveland Street closed"," "," ","","","1517489999059","False"," ","CHANGED TRAFFIC CONDITIONS Eastern Distributor northbound off-ramp to Cleveland Street closed - MOORE PARK Eastern Distributor at Cleveland St","False","Planned","False","False","False","1512008377241","Changed traffic conditions","None","The northbound off-ramp to Cleveland St from the Eastern Distributor is closed.<br/><br/>Motorists should exit at South Dowling St or Link Rd to access Cleveland St.<br/> <br/>","","","","","",""," ","","Cleveland Street","","Northbound"," "," ","Closed"," ","Off-ramp","at","Eastern Distributor","","0","SYD_MET"," ","Moore Park","","-1","1499608800000","Protest"," ","None","None","Extended trial closure of ED off-ramp","http://www.rms.nsw.gov.au/about/news-events/news/roads-and-maritime/2017/170703-trial-full-closure-of-eastern-distibutor-off-ramp.html","Feature"
"151.21422","-33.92445","POINT","727122","","","","","","","1512080524845","BREAKDOWN Motorcycle"," ","None","","","None","True","None","BREAKDOWN Motorcycle - EASTLAKES Southern Cross Dr at Gardeners Rd","False","Unplanned","False","False","False","1512080898039","Breakdown","None"," ","","","","","",""," ","","Gardeners Road","","Northbound","1","Lane 1","Lanes closed","3"," ","at","Southern Cross Drive","","0","SYD_MET"," ","Eastlakes","","-1","None","","","","","","",""
"150.86751","-33.8006","POINT","727190","","","","","","","1512110004993","BREAKDOWN Car"," ","None","","","None","True","None","BREAKDOWN Car - EASTERN CREEK M4 Mwy approaching Brabham Dr","False","Unplanned","False","False","False","1512111272804","Breakdown","None"," ","","","","","",""," ","","Brabham Drive","","Eastbound"," "," ","Affected"," "," ","approaching","M4 Motorway","","0","SYD_WEST"," ","Eastern Creek","","-1","None","","","","","","",""
"150.90611","-32.77774","POINT","727097","","","","","RMS","","1512065380891","HAZARD Landslide"," ","None","","","None","True","None","HAZARD Landslide - HOWES VALLEY Putty Rd between Milbrodale Rd and Blaxlands Ridge Rd","False","Unplanned","False","False","False","1512101164676","Hazard","None","There are trees and rocks on the roadway. <br/>Traffic is able to pass the site under alternating (stop/slow) conditions.<br/>","","","","","",""," ","","Milbrodale Road","","Both directions"," "," ","Affected"," "," ","between","Putty Road","","0","REG_NORTH","Blaxlands Ridge Road","Howes Valley","","-1","None","","","","","","",""
"151.19434","-33.87339","POINT","727159","","","","","","","1512101360453","BREAKDOWN Car"," ","None","","","None","True","None","BREAKDOWN Car - PYRMONT Western Distributor approaching Anzac Bridge","False","Unplanned","False","False","False","1512101399109","Breakdown","None"," ","","","","","",""," ","","Anzac Bridge","Significant","Westbound","1","Lane 4","Lanes closed","4"," ","approaching","Western Distributor","","-1","SYD_MET"," ","Pyrmont","Heavy","-1","None","","","","","","",""
"151.22862","-33.87622","POINT","727136","","","","","RMS","","1512087857251","ACCIDENT Car"," ","None","","","None","True","None","ACCIDENT Car - RUSHCUTTERS BAY Mclachlan Ave at Bayswater Rd","False","Unplanned","False","False","False","1512089385501","Accident","None"," ","","","","","",""," ","","Bayswater Road","","Westbound","1","Lane 1","Lanes closed","2"," ","at","Mclachlan Avenue","","0","SYD_MET"," ","Rushcutters Bay","","-1","None","","","","","","",""
"151.22904","-33.93866","POINT","727201","","","","","","","1512115165890","ACCIDENT 3 vehicles"," ","None","","","None","True","None","ACCIDENT 3 vehicles - PAGEWOOD Bunnerong Rd at Boyce Rd","False","Unplanned","False","False","False","1512115954835","Accident","None"," ","","","","","",""," ","","Boyce Road","","","","","","","","at","Bunnerong Road","","0","SYD_MET"," ","Pagewood","","-1","None","","","","","","",""
"151.18915","-33.8135","POINT","727172","","","","","","","1512104094280","BREAKDOWN Car"," ","None","","","None","True","None","BREAKDOWN Car - ARTARMON Gore Hill Fwy at Hampden Rd","False","Unplanned","False","False","False","1512106307013","Breakdown","None"," ","","","","","",""," ","","Hampden Road"," ","Eastbound"," "," ","Affected"," "," ","at","Gore Hill Freeway","","-1","SYD_NORTH"," ","Artarmon","Heavy","-1","None","","","","","","",""
