latitude,longitude,id,additionalInfo_0,advice_for_motorists_1,advice_for_motorists_2,attendingGroups_0,attendingGroups_1,attendingGroups_2,system_record_created_at,description_headline,diversions,duration,encodedPolylines_0_coords,encodedPolylines_0_levels,scheduled_end_time,is_resolved/ended,description_summary,is_impacting_network,incidentKind,is_unverified_report,isMajor,isNewIncident,last_updated_at,mainCategory,advice_for_motorists,scheduled_period_0_closureType,scheduled_period_0_direction,scheduled_period_0_finishTime,scheduled_period_0_fromDay,scheduled_period_0_startTime,scheduled_period_0_toDay,PT_impact,roads_affected_0_conditionTendency,roads_affected_0_crossStreet,roads_affected_0_delay,roads_affected_0_impactedLanes_0_affectedDirection,roads_affected_0_impactedLanes_0_closedLanes,roads_affected_0_impactedLanes_0_description,roads_affected_0_impactedLanes_0_extent,roads_affected_0_impactedLanes_0_numberOfLanes,roads_affected_0_impactedLanes_0_roadType,roads_affected_0_locationQualifier,roads_affected_0_mainStreet,roads_affected_0_quadrant,roads_affected_0_queueLength,roads_affected_0_region,roads_affected_0_secondLocation,roads_affected_0_suburb,roads_affected_0_trafficVolume,speedLimit,scheduled_start_time
150.92581,-33.83226,727158,,,,,RMS,,2017-12-01 15:07:19,ACCIDENT Multiple vehicles, ,None,,,None,True,ACCIDENT Multiple vehicles - GREYSTANES Gipps Rd at Alpha Rd,False,Unplanned,True,False,False,1512102926626,Accident, ,,,,,,, ,,Alpha Road,,,,,,,,at,Gipps Road,,0,SYD_WEST, ,Greystanes,,-1,None
150.92163,-33.93937,727152,,,,,,,2017-12-01 14:24:45,HAZARD Tyre debris, ,None,,,None,True,HAZARD Tyre debris - CASULA M5 Mwy approaching Hume Hwy,False,Unplanned,False,False,False,1512101104726,Hazard, ,,,,,,, ,,Hume Highway,,Westbound,1,Lane 2,Lanes closed,4, ,approaching,M5 Motorway,,0,SYD_SOUTH, ,Casula,,-1,None
152.42567,-32.08231,727202,,,,,RMS,,2017-12-01 19:00:28,HAZARD Fallen tree, ,None,,,None,True,HAZARD Fallen tree - FAILFORD Failford Rd at Pacific Hwy,False,Unplanned,False,False,False,1512118242795,Hazard, ,,,,,,, ,,Pacific Highway,,Both directions, , ,Affected, , ,at,Failford Road,,0,REG_NORTH, ,Failford,,-1,None
151.01974,-33.83179,727130,,,,,RMS,,2017-12-01 10:31:32,BREAKDOWN Truck, ,None,,,None,True,BREAKDOWN Truck - CLYDE James Ruse Dr at Martha St,False,Unplanned,False,False,False,1512092057559,Breakdown, ,,,,,,, ,,Martha Street,,Northbound,1,Lane 1,Lanes closed,3, ,at,James Ruse Drive,,0,SYD_WEST, ,Clyde,,-1,None
151.12799,-33.73353,727203,,,,,RMS,,2017-12-01 19:10:43,HAZARD Missing Lane Divider, ,None,,,None,True,HAZARD Missing Lane Divider - WAHROONGA Pacific Hwy at Kissing Point Rd,False,Unplanned,False,False,False,1512116814867,Hazard, ,,,,,,, ,,Kissing Point Road,,Both directions, , ,Affected, , ,at,Pacific Highway,,0,SYD_NORTH, ,Wahroonga,,-1,None
150.91541,-33.80426,727141,,,,,Heavy tow truck,,2017-12-01 12:04:30,BREAKDOWN Truck, ,None,,,None,True,BREAKDOWN Truck - PROSPECT M4 Mwy at Prospect Hwy,False,Unplanned,False,False,False,1512096133865,Breakdown, ,,,,,,, ,,Prospect Highway, ,Eastbound, ,Off-ramp,Affected, , ,at,M4 Motorway,,-1,SYD_WEST, ,Prospect,Heavy,-1,None
150.50854,-34.40271,727210,,,,,,,2017-12-01 20:21:29,BREAKDOWN Truck, ,None,,,None,True,BREAKDOWN Truck - COLO VALE Hume Mwy Off-Ramp to Church Ave,False,Unplanned,False,False,False,1512129253867,Breakdown, ,,,,,,, ,,Church Avenue,,Southbound, , ,Affected, , ,to,Hume Motorway Off-Ramp,,0,REG_SOUTH, ,Colo Vale,,-1,None
151.21494,-33.90088,727125,,,,,RMS,,2017-12-01 09:44:35,"HAZARD Debris, bricks", ,None,,,None,True,"HAZARD Debris, bricks - MOORE PARK South Dowling St at Dacey Ave",False,Unplanned,False,False,False,1512088736752,Hazard, ,,,,,,, ,,Dacey Avenue,,All directions, , ,Affected, , ,at,South Dowling Street,,0,SYD_MET, ,Moore Park,,-1,None
150.68608,-33.75701,727189,,,,,,,2017-12-01 17:29:10,BREAKDOWN Car, ,None,,,None,True,BREAKDOWN Car - PENRITH Mulgoa Rd at Ransley St,False,Unplanned,False,False,False,1512113601839,Breakdown, ,,,,,,, ,,Ransley Street,,Southbound, , ,Affected, , ,at,Mulgoa Road,,0,SYD_WEST, ,Penrith,,-1,None
151.11468,-33.93615,727133,,,,,,,2017-12-01 10:44:19,BREAKDOWN Truck, ,None,,,None,True,BREAKDOWN Truck - BEXLEY NORTH M5 East Mwy at Tunnel exit,False,Unplanned,False,False,False,1512093681030,Breakdown, ,,,,,,, ,,Tunnel exit,Significant,Westbound, , ,Affected, , ,at,M5 East Motorway,,-1,SYD_MET, ,Bexley North,Heavy,-1,None
