"features_geometry_coordinates_0","features_geometry_coordinates_1","features_geometry_type","features_id","features_properties_additionalInfo_0","features_properties_adviceA","features_properties_adviceB","features_properties_arrangementAttachments_0_displayName","features_properties_arrangementAttachments_0_fileName","features_properties_arrangementAttachments_0_fileType","features_properties_arrangementAttachments_0_linkName","features_properties_arrangementAttachments_0_sizeInBytes","features_properties_arrangementAttachments_0_uniqueFileName","features_properties_arrangementAttachments_1_displayName","features_properties_arrangementAttachments_1_fileName","features_properties_arrangementAttachments_1_fileType","features_properties_arrangementAttachments_1_linkName","features_properties_arrangementAttachments_1_sizeInBytes","features_properties_arrangementAttachments_1_uniqueFileName","features_properties_attendingGroups_0","features_properties_created","features_properties_displayName","features_properties_diversions","features_properties_duration","features_properties_encodedPolylines_0_coords","features_properties_encodedPolylines_0_levels","features_properties_end","features_properties_ended","features_properties_expectedDelay","features_properties_headline","features_properties_impactingNetwork","features_properties_incidentKind","features_properties_isInitialReport","features_properties_isMajor","features_properties_isNewIncident","features_properties_lastUpdated","features_properties_mainCategory","features_properties_name","features_properties_otherAdvice","features_properties_periods_0_closureType","features_properties_periods_0_direction","features_properties_periods_0_finishTime","features_properties_periods_0_fromDay","features_properties_periods_0_startTime","features_properties_periods_0_toDay","features_properties_periods_1_closureType","features_properties_periods_1_direction","features_properties_periods_1_finishTime","features_properties_periods_1_fromDay","features_properties_periods_1_startTime","features_properties_periods_1_toDay","features_properties_periods_2_closureType","features_properties_periods_2_direction","features_properties_periods_2_finishTime","features_properties_periods_2_fromDay","features_properties_periods_2_startTime","features_properties_periods_2_toDay","features_properties_periods_3_closureType","features_properties_periods_3_direction","features_properties_periods_3_finishTime","features_properties_periods_3_fromDay","features_properties_periods_3_startTime","features_properties_periods_3_toDay","features_properties_periods_4_closureType","features_properties_periods_4_direction","features_properties_periods_4_finishTime","features_properties_periods_4_fromDay","features_properties_periods_4_startTime","features_properties_periods_4_toDay","features_properties_periods_5_closureType","features_properties_periods_5_direction","features_properties_periods_5_finishTime","features_properties_periods_5_fromDay","features_properties_periods_5_startTime","features_properties_periods_5_toDay","features_properties_periods_6_closureType","features_properties_periods_6_direction","features_properties_periods_6_finishTime","features_properties_periods_6_fromDay","features_properties_periods_6_startTime","features_properties_periods_6_toDay","features_properties_publicTransport","features_properties_roads_0_conditionTendency","features_properties_roads_0_crossStreet","features_properties_roads_0_delay","features_properties_roads_0_impactedLanes_0_affectedDirection","features_properties_roads_0_impactedLanes_0_closedLanes","features_properties_roads_0_impactedLanes_0_description","features_properties_roads_0_impactedLanes_0_extent","features_properties_roads_0_impactedLanes_0_numberOfLanes","features_properties_roads_0_impactedLanes_0_roadType","features_properties_roads_0_locationQualifier","features_properties_roads_0_mainStreet","features_properties_roads_0_quadrant","features_properties_roads_0_queueLength","features_properties_roads_0_region","features_properties_roads_0_secondLocation","features_properties_roads_0_suburb","features_properties_roads_0_trafficVolume","features_properties_speedLimit","features_properties_start","features_properties_subCategoryA","features_properties_subCategoryB","features_properties_webLinkName","features_properties_webLinkUrl","features_properties_webLinks_0_linkText","features_properties_webLinks_0_linkURL","features_properties_webLinks_1_linkText","features_properties_webLinks_1_linkURL","features_type"
"151.20572","-33.87779","POINT","711511","","","","","","","","","","","","","","","","","1507268859687","SCHEDULED ROAD WORKS Utilities"," "," ","","","1512133199060","False"," ","SCHEDULED ROAD WORKS Utilities - SYDNEY Goulburn St at George St","True","Planned","False","False","False","1509625845653","Scheduled road works","None","A contra flow will be in place allowing one lane of traffic to pass in each direction at the same time. <br/>","LANE_CLOSURE","Both directions","5am","Sunday","10pm"," ","LANE_CLOSURE","Both directions","5am","Monday","10pm"," ","LANE_CLOSURE","Both directions","5am","Tuesday","10pm"," ","LANE_CLOSURE","Both directions","5am","Wednesday","10pm"," ","LANE_CLOSURE","Both directions","5am","Thursday","10:30pm"," ","","","","","","","","","","","",""," ","","George Street","","","","","","","","at","Goulburn Street","","0","SYD_MET"," ","Sydney","","-1","1507381200000","","","","","","","","",""
"150.92853","-33.91427","POINT","708634"," ","Reduce speed","Exercise caution","","","","","","","","","","","",""," ","1504828255253","SCHEDULED ROAD WORKS Utilities"," "," ","","","1514033999060","False"," ","SCHEDULED ROAD WORKS Utilities - WARWICK FARM Hume Hwy at Bigge St","False","Planned","False","False","False","1508158053917","Scheduled road works","None"," ","LANE_CLOSURE","Both directions","5am","Sunday","8pm"," ","LANE_CLOSURE","Both directions","5am","Monday","8pm"," ","LANE_CLOSURE","Both directions","5am","Tuesday","8pm"," ","LANE_CLOSURE","Both directions","5am","Wednesday","8pm"," ","LANE_CLOSURE","Both directions","5am","Thursday","8pm"," ","LANE_CLOSURE","Both directions","6pm","Every day","7am"," ","","","","","",""," ","","Bigge Street","","","","","","","","at","Hume Highway","","0","SYD_SOUTH"," ","Warwick Farm","","-1","1506607200000","Utilities"," ","None","None","RMS Project Page ","http://www.rms.nsw.gov.au/projects/sydney-west/bigge-street-hume-highway/index.html","","","Feature"
"150.9904","-33.82551","POINT","727150","","","","","","","","","","","","","","","","","1512097996902","SCHEDULED ROAD WORKS","M4 mwy off-ramp to Coleman St.<br/>"," ","","","1512392399059","False"," ","SCHEDULED ROAD WORKS - MERRYLANDS M4 Mwy off-ramp to Burnett St","False","Planned","False","False","False","1512098057570","Scheduled road works","None"," ","ROAD_CLOSURE","Westbound","5am","Sunday","11pm"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""," ","","Burnett Street","","","","","","","","to","M4 Motorway off-ramp","","0","SYD_WEST"," ","Merrylands","","-1","1512219600000","","","","","","","","",""
"149.90235","-31.09957","POINT","710907"," ","Exercise caution","Reduced speed limit","","","","","","","","","","","",""," ","1506694784420","SCHEDULED ROAD WORKS Maintenance"," "," ","","","1513774799059","False"," ","SCHEDULED ROAD WORKS Maintenance - MULLALEY Oxley Hwy - 33km west of Gunnedah","False","Planned","False","False","False","1512144310792","Scheduled road works","None","There is a 4.5m width restriction in place at all times. <br/>Motorists should expect delays up to 10 minutes. <br/>","LANE_CLOSURE","Both directions","5pm","Every day","7am"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""," ","","33km west of Gunnedah","","","","","","","","-","Oxley Highway","","0","REG_NORTH"," ","Mullaley","","40","1511010000000","Maintenance"," ","None","None","","","","","Feature"
"151.23604","-33.91866","POINT","725676"," ","Check signage","Use alternative route","","","","","","","","","","","",""," ","1510812527298","SCHEDULED ROAD WORKS Light rail project","Motorists will remain on Barker St and use Anzac Pde or Avoca St to travel northbound.<br/>"," ","ti_nEgkaz[`WlD","AA","1512910799059","False"," ","SCHEDULED ROAD WORKS Light rail project - RANDWICK Botany St between High St and Barker St","True","Planned","False","False","False","1511610408440","Scheduled road works","None"," ","ROAD_CLOSURE","Both directions","","Saturday","24hrs"," ","ROAD_CLOSURE","Both directions"," ","Sunday","24hrs"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""," ","","High Street","","","","","","","","between","Botany Street","","0","SYD_MET","Barker Street","Randwick","","-1","1510923600000","Light rail project"," ","None","None","","","","","Feature"
"151.18532","-33.91998","POINT","701108"," ","Allow extra travel time","Check signage","","Gardeners Rd map.pdf","pdf","Gardeners Rd map","252367","gardeners_rd_map_1498805616257r7t.pdf","","","","","",""," ","1498183791577","SCHEDULED ROAD WORKS WestConnex","Westbound motorists on Gardeners Rd will detour via O'Riordan St and Doody St to access Bourke Rd. <br/>"," ","","","1593871199059","False"," ","SCHEDULED ROAD WORKS WestConnex - ALEXANDRIA Gardeners Rd between Kent Rd and O'Riordan St","False","Planned","False","False","False","1511610974370","Scheduled road works","None","Westbound motorists on Gardeners Rd can not turn right on to Bourke Rd. <br/>","LANE_CLOSURE","Eastbound","","Every day","24hrs"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""," ","","Kent Road","","","","","","","","between","Gardeners Road","","0","SYD_MET","O'Riordan Street","Alexandria","","-1","1499090400000","WestConnex"," ","None","None","WestConnex","https://www.westconnex.com.au/traffic-changes","","","Feature"
"151.14481","-33.88977","POINT","726724"," ","Exercise caution","Check signage","","","","","","","","","","","",""," ","1511780035572","SCHEDULED ROAD WORKS Resurfacing"," "," ","","","1513947599059","False"," ","SCHEDULED ROAD WORKS Resurfacing - HABERFIELD TO CAMPERDOWN Parramatta Rd between Hawthorne Pde and Broadway","True","Planned","False","False","False","1512474747697","Scheduled road works","None","A contra flow will be in place to allow motorists to pass in both directions.<br/>","LANE_CLOSURE","Both directions","5am","Sunday","10pm"," ","LANE_CLOSURE","Both directions","5am","Monday","10pm"," ","LANE_CLOSURE","Both directions","5am","Tuesday","10pm"," ","LANE_CLOSURE","Both directions","5am","Wednesday","10pm"," ","LANE_CLOSURE","Both directions","5am","Thursday","11pm"," ","","","","","","","","","","","",""," ","","Hawthorne Parade","","","","","","","","between","Parramatta Road","","0","SYD_MET","Broadway","Haberfield to Camperdown","","-1","1512478800000","Resurfacing"," ","None","None","","","","","Feature"
"151.77962","-32.92633","POINT","726156"," ","Check signage","Use diversions","","20-November-2017-Hunter-and-Scott-streets-Crown-to-Wolfe-construction-update.pdf","pdf","Newcastle Light Rail construction update","134597","20-november-2017-hunter-and-scott-streets-crown-to-wolfe-construction-update_1511277642906uib.pdf","","","","","",""," ","1511277734345","SCHEDULED ROAD WORKS Newcastle Light rail project","Motorists are advised to travel via King Street at Darby St, Crown St, Watt St and Bolton St.<br/>"," ","","","1517403599059","False"," ","SCHEDULED ROAD WORKS Newcastle Light rail project - NEWCASTLE Scott St between Perkins St and Wolfe St","True","Planned","False","False","False","1511609200501","Scheduled road works","None","This work is the continuation of major light rail construction on Hunter and Scott streets. Private driveway access will be maintained wherever possible.<br/>","ROAD_CLOSURE","Both directions","6pm","Weekdays","7am"," ","ROAD_CLOSURE","Both directions","6pm","Saturday","8am"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""," ","","Perkins Street","","","","","","","","between","Scott Street","","0","REG_NORTH","Wolfe Street","Newcastle","","-1","1511701200000","Light rail project"," ","None","None","Newcastle Light Rail","http://revitalisingnewcastle.nsw.gov.au/construction/construction-information/","","","Feature"
"151.03159","-33.78634","POINT","713920"," ","Check signage","Reduce speed","","","","","","","","","","","",""," ","1509384220050","SCHEDULED ROAD WORKS Sign and post installation"," "," ","","","1512910799060","False"," ","SCHEDULED ROAD WORKS Sign and post installation - OATLANDS TO WAHROONGA Pennant Hills Rd between James Ruse Dr and Pacific Hwy","False","Planned","False","False","False","1510748677190","Scheduled road works","None","New clearway signs and posts will be installed in November and December.<br/><br/>Changes to the clearways will be operational on Pennant Hills Road from:<br/>* Monday 4 December between M2 Motorway, Carlingford and Pacific Highway, Wahroonga<br/>* Monday 11 December between James Ruse Drive, Oatlands and M2 Motorway, Carlingford.<br/>","LANE_CLOSURE","Both directions","5am","Every day","8pm"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""," ","","James Ruse Drive","","","","","","","","between","Pennant Hills Road","","0","SYD_WEST","Pacific Highway","Oatlands to Wahroonga","","-1","1510232400000"," "," ","None","None","","","","","Feature"
"150.71118","-33.78635","POINT","713990"," ","Reduce speed","Allow extra travel time","","","","","","","","","","","",""," ","1509434834304","CHANGED TRAFFIC CONDITIONS The Northern Road Upgrade"," "," ","","","1538402399059","False"," ","CHANGED TRAFFIC CONDITIONS The Northern Road Upgrade - ORCHARD HILLS M4 Mwy between Kingswood Rd and The Northern Rd","False","Planned","False","False","False","1512482046422","Scheduled road works","None","Shoulder reduction. A long term steel barrier placement will assist in the construction of a new westbound off-ramp to The Northern Rd.<br/>Westbound motorists may experience delays due to changed traffic conditions. <br/>","LANE_CLOSURE","Both directions","","Every day","24hrs"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""," ","","Kingswood Road","","","","","","","","between","M4 Motorway","","0","SYD_WEST","The Northern Road","Orchard Hills","","-1","1510491600000"," "," ","None","None","The Northern Rd Upgrade","http://www.rms.nsw.gov.au/projects/sydney-west/the-northern-road/stage-3/index.html","","","Feature"
